Country,ID
Australia,36
Bahrain,48
Chile,152
Chinese Taipei,158
Cyprus,196
Egypt,818
England,926
Finland,246
France,250
Georgia,268
Hong Kong SAR,344
Hungary,348
"Iran, Islamic Rep. of",364
Ireland,372
Israel,376
Italy,380
Japan,392
Jordan,400
Kazakhstan,398
"Korea, Rep. of",410
Kuwait,414
Lebanon,422
Lithuania,440
Malaysia,458
Morocco,504
New Zealand,554
Norway,578
Oman,512
Portugal,620
Qatar,634
Romania,642
Russian Federation,643
Saudi Arabia,682
Singapore,702
South Africa,710
Sweden,752
Turkey,792
United Arab Emirates,784
United States,840
"Ontario, Canada",9132
"Quebec, Canada",9133
"Moscow City, Russian Fed.",643001
"Abu Dhabi, UAE",7842
"Dubai, UAE",7841
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
