IDCNTRY,IDSCHOOL,IDTEALIN,IDTEACH,IDLINK,experience,sex,age,prob_class_size,prob_much_material,prob_much_time,prob_need_prep,prob_need_class_time,prob_much_pressure,prob_change_material,prob_admin_tasks,class_size,stud_lang_diff,style_daily_lives,style_explain_work,style_challenge,style_discussion,style_link_previous,style_procedures,style_express_ideas,class_time,stud_explain_new,stud_explain_solve,stud_memorize,stud_practice,stud_apply,stud_class_work,stud_heterogeneous,stud_homogenous,computer_math,computer_stud,computer_class,computer_school,computer_class_freq,computer_low_freq,computer_high_freq,computer_spec_freq,hw_freq,hw_time,hw_correct,hw_self_correct,hw_discuss,hw_complete,hw_graded,assess_observe,assess_ask,assess_short,assess_long,assess_projects,pd_hours,language,school_acad_focus_score,limited_by_needs_score,school_safe_score,job_satisfaction_score,school_acad_focus,limited_by_needs,school_safe,job_satisfaction,num_coverage,alg_coverage,geo_coverage,data_coverage,edu_level,study_stem,study_edu,mmat_avg,ssci_avg,malg_avg,mapp_avg,mdat_avg,mgeo_avg,mkno_avg,mnum_avg,mrea_avg,sapp_avg,sbio_avg,sche_avg,sear_avg,skno_avg,sphy_avg,srea_avg
152,5001,50010101,500101,1,9.0,Male,30–39,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,38.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,270.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,2.0,2.0,1.0,2.0,More than 35 hours,Spanish,17.78068,3.62369,13.87035,11.74559,Very High Emphasis,Very Limited,Very Safe and Orderly,Very Satisfied,100.0,100.0,100.0,100.0,ISCED Level 7,1,0,426.4415910967742,446.39240419354826,417.5060098709678,425.5193976129033,419.1187140645161,413.05915516129033,417.4173326451613,427.4671186451613,431.3043250967742,438.8334185806452,453.6197878064516,435.53751664516125,450.7075370322581,440.27627806451613,437.13717141935484,436.3000473548387
152,5002,50020202,500202,2,4.0,Male,30–39,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,38.0,0.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,315.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,2.0,2.0,1.0,2.0,1.0,None,Spanish,10.95225,10.14509,9.61153,10.25874,High Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,100.0,71.42857,66.66667,50.0,ISCED Level 6,1,1,436.8461258857143,453.55506262857153,439.0484079428572,439.7958882857143,424.9460429142856,428.5870705714286,426.1768347428572,433.98399359999996,447.2650487428572,448.3115637142857,458.7962981714286,434.03245765714286,445.7594429142858,451.4995830285714,443.3273929714286,451.42068662857145
152,5004,50040101,500401,1,2.0,Male,25–29,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,8.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,360.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,,,,,,,,1.0,30.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,None,Spanish,9.44792,10.69865,10.58171,11.74559,Medium Emphasis,Somewhat Limited,Very Safe and Orderly,Very Satisfied,100.0,85.71429,100.0,100.0,ISCED Level 6,1,0,398.0166096,407.08195159999997,405.8961332,402.180076,388.7957708,424.72532119999994,387.5993952,413.00196800000003,414.40053879999994,390.4491472,417.3231656,409.5860524,431.3457212,406.00904560000004,416.8448068000001,419.538398
152,5005,50050202,500502,2,34.0,Male,50–59,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,9.0,0.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,270.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,30.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,More than 35 hours,Spanish,7.30893,11.28828,11.14932,11.74559,Medium Emphasis,Not Limited,Very Safe and Orderly,Very Satisfied,100.0,71.42857,66.66667,100.0,ISCED Level 7,1,1,426.48122199999995,465.3040802857143,412.87114600000007,426.4240837142857,424.7600374285715,422.83406542857153,420.405662,426.2619408571428,442.9304091428572,456.29296742857144,456.91655600000007,445.2937548571428,483.45083142857146,442.90424257142865,456.12238799999994,451.84180828571425
152,5007,50070202,500702,2,2.0,Female,30–39,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,0.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,0.0,,,,,,,,1.0,15.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,16–35 hours,Spanish,9.74934,9.6191,8.78337,11.74559,Medium Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,100.0,85.71429,0.0,0.0,ISCED Level 6,1,1,414.92517200000003,416.00810945454543,402.5661809090909,413.47894381818185,412.3003823636363,409.3578494545455,399.1400049090909,418.06850581818185,427.20795472727275,415.8830889090909,434.00377163636364,387.28720309090914,427.0270914545454,430.21750345454547,419.1629538181818,416.32499254545456
152,5010,50100101,501001,1,16.0,Female,30–39,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,36.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,420.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,0.0,,,,,,,,0.0,,,,,,,1.0,2.0,2.0,1.0,1.0,6–15 hours,Spanish,11.85103,9.11668,9.61153,11.74559,High Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,100.0,57.14286,33.33333,66.66667,ISCED Level 6,1,1,534.4794100689655,544.7261537241379,543.3277044137931,527.6713235862069,537.5592951724138,532.2825702758621,535.7744177931035,535.1773662068966,536.0754036551724,544.1815766896552,560.3168728275862,526.1466075862071,549.2697906896551,547.3129408275862,543.5686684827588,541.0657218620689
152,5011,50110202,501102,2,36.0,Male,60 or more,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,30.0,15.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,0.0,,,,,,,,0.0,,,,,,,2.0,2.0,1.0,2.0,1.0,16–35 hours,Spanish,9.44792,8.15603,10.07263,11.74559,Medium Emphasis,Somewhat Limited,Safe and Orderly,Very Satisfied,100.0,71.42857,100.0,83.33333,ISCED Level 6,1,1,392.0240728461538,418.96792146153854,387.7627633076922,385.81267900000006,386.7986475384617,397.552986923077,381.2682214615384,398.54761107692315,415.9424732307692,417.442477,426.7408026923076,392.91910369230783,430.400728,420.03412692307694,401.0268643846154,419.5659948461538
152,5013,50130101,501301,1,14.0,Female,40–49,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,33.0,0.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,480.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,2.0,1.0,1.0,1.0,More than 35 hours,Spanish,6.2536,7.67828,7.62717,8.48286,Medium Emphasis,Somewhat Limited,Safe and Orderly,Satisfied,100.0,85.71429,16.66667,0.0,ISCED Level 6,1,1,409.387869925926,432.66055355555557,409.02174118518525,404.7408562962964,405.73929251851854,402.123535925926,394.5140345925927,406.30385170370363,420.2498697037038,424.41248651851856,454.4250658518518,401.3791014074076,431.7541808148149,439.92243711111115,426.4563908148148,424.75668177777777
152,5014,50140101,501401,1,5.0,Male,25–29,0.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,23.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,270.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,2.0,2.0,2.0,0.0,2.0,More than 35 hours,Spanish,10.95225,6.01647,8.39631,10.82008,High Emphasis,Very Limited,Safe and Orderly,Very Satisfied,100.0,100.0,100.0,0.0,ISCED Level 6,1,1,401.4854896666667,422.9964454444444,390.58452022222224,398.21128722222227,395.67915088888896,386.77976533333344,386.18214788888895,398.1766156666667,402.47160855555546,431.67435011111115,420.95815766666675,392.6695577777778,425.7988535555556,415.35961688888875,394.26542166666667,415.1832162222223
152,5015,50150101,501501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,552.7339293513515,556.663859837838,562.6956138378379,550.0128654054055,546.6893489729729,543.4673691351353,554.1417202702703,552.6493851891892,549.0706648108109,564.1774542702705,572.5645510270272,534.3140125945944,564.2560460000001,556.8555154594595,548.8450245405406,556.6169621621622
